started: 2020.04.26 14:14:35
duration: 0:02:56.010337
------------
(2, 0, (0, 1))	| l indx: 5	| r nb: 218	| fail l: 115	| pass f: 2	| pass l: 218	| done: True
(2, 0, (0, 3))	| l indx: 14	| r nb: 217	| fail l: 217	| pass f: 59	| pass l: 213	| done: False
(2, 0, (1, 0))	| l indx: 20	| r nb: 217	| fail l: 142	| pass f: 18	| pass l: 217	| done: True
(2, 1, (0, 1))	| l indx: 13	| r nb: 217	| fail l: 217	| pass f: 0	| pass l: 0	| done: False
(2, 1, (0, 2))	| l indx: 7	| r nb: 218	| fail l: 216	| pass f: 29	| pass l: 218	| done: False
(2, 1, (1, 0))	| l indx: 6	| r nb: 218	| fail l: 218	| pass f: 213	| pass l: 213	| done: False
(2, 2, (0, 1))	| l indx: 2	| r nb: 217	| fail l: 217	| pass f: 0	| pass l: 0	| done: False
(2, 2, (0, 2))	| l indx: 10	| r nb: 217	| fail l: 217	| pass f: 0	| pass l: 0	| done: False
(2, 2, (0, 3))	| l indx: 9	| r nb: 218	| fail l: 218	| pass f: 0	| pass l: 0	| done: False
(2, 3, (0, 1))	| l indx: 0	| r nb: 217	| fail l: 173	| pass f: 13	| pass l: 217	| done: True
(2, 4, (1, 0))	| l indx: 3	| r nb: 218	| fail l: 218	| pass f: 0	| pass l: 0	| done: False
(2, 5, (0, 1))	| l indx: 12	| r nb: 217	| fail l: 204	| pass f: 66	| pass l: 217	| done: True
(2, 5, (0, 2))	| l indx: 4	| r nb: 218	| fail l: 188	| pass f: 41	| pass l: 218	| done: True
(2, 5, (0, 3))	| l indx: 16	| r nb: 217	| fail l: 217	| pass f: 147	| pass l: 216	| done: False
(2, 5, (1, 0))	| l indx: 11	| r nb: 217	| fail l: 217	| pass f: 216	| pass l: 216	| done: False
(2, 6, (0, 1))	| l indx: 1	| r nb: 217	| fail l: 217	| pass f: 0	| pass l: 0	| done: False
(2, 6, (0, 2))	| l indx: 18	| r nb: 217	| fail l: 217	| pass f: 0	| pass l: 0	| done: False
(2, 6, (0, 3))	| l indx: 22	| r nb: 217	| fail l: 217	| pass f: 0	| pass l: 0	| done: False
(2, 6, (1, 0))	| l indx: 15	| r nb: 217	| fail l: 217	| pass f: 0	| pass l: 0	| done: False
(2, 7, (0, 1))	| l indx: 21	| r nb: 217	| fail l: 217	| pass f: 0	| pass l: 0	| done: False
(2, 7, (0, 2))	| l indx: 8	| r nb: 218	| fail l: 218	| pass f: 0	| pass l: 0	| done: False
(2, 7, (0, 3))	| l indx: 19	| r nb: 217	| fail l: 217	| pass f: 0	| pass l: 0	| done: False
(2, 7, (1, 0))	| l indx: 17	| r nb: 217	| fail l: 217	| pass f: 0	| pass l: 0	| done: False
