started: 2020.04.27 14:52:26
duration: 0:09:56.821622
------------
(6, 0, (0, 1))	| l indx: 1	| r nb: 334	| fail l: 283	| pass f: 1	| pass l: 334	| done: True
(6, 0, (0, 3))	| l indx: 23	| r nb: 334	| fail l: 235	| pass f: 176	| pass l: 334	| done: True
(6, 0, (1, 0))	| l indx: 8	| r nb: 335	| fail l: 282	| pass f: 7	| pass l: 335	| done: True
(6, 1, (0, 1))	| l indx: 29	| r nb: 334	| fail l: 265	| pass f: 227	| pass l: 334	| done: True
(6, 1, (0, 2))	| l indx: 26	| r nb: 334	| fail l: 235	| pass f: 146	| pass l: 334	| done: True
(6, 1, (1, 0))	| l indx: 7	| r nb: 335	| fail l: 335	| pass f: 284	| pass l: 330	| done: False
(6, 2, (0, 1))	| l indx: 15	| r nb: 334	| fail l: 334	| pass f: 0	| pass l: 0	| done: False
(6, 2, (0, 2))	| l indx: 11	| r nb: 334	| fail l: 334	| pass f: 0	| pass l: 0	| done: False
(6, 2, (0, 3))	| l indx: 19	| r nb: 334	| fail l: 334	| pass f: 0	| pass l: 0	| done: False
(6, 3, (0, 1))	| l indx: 18	| r nb: 334	| fail l: 29	| pass f: 4	| pass l: 334	| done: True
(6, 4, (1, 0))	| l indx: 32	| r nb: 334	| fail l: 334	| pass f: 0	| pass l: 0	| done: False
(6, 5, (0, 1))	| l indx: 16	| r nb: 334	| fail l: 215	| pass f: 142	| pass l: 334	| done: True
(6, 5, (0, 2))	| l indx: 20	| r nb: 334	| fail l: 201	| pass f: 166	| pass l: 334	| done: True
(6, 5, (0, 3))	| l indx: 0	| r nb: 334	| fail l: 227	| pass f: 208	| pass l: 334	| done: True
(6, 5, (1, 0))	| l indx: 34	| r nb: 334	| fail l: 234	| pass f: 46	| pass l: 334	| done: True
(6, 6, (0, 1))	| l indx: 14	| r nb: 334	| fail l: 334	| pass f: 332	| pass l: 332	| done: False
(6, 6, (0, 2))	| l indx: 4	| r nb: 335	| fail l: 321	| pass f: 299	| pass l: 335	| done: True
(6, 6, (0, 3))	| l indx: 10	| r nb: 335	| fail l: 335	| pass f: 0	| pass l: 0	| done: False
(6, 6, (1, 0))	| l indx: 24	| r nb: 334	| fail l: 334	| pass f: 0	| pass l: 0	| done: False
(6, 7, (0, 1))	| l indx: 13	| r nb: 334	| fail l: 334	| pass f: 0	| pass l: 0	| done: False
(6, 7, (0, 2))	| l indx: 33	| r nb: 334	| fail l: 334	| pass f: 0	| pass l: 0	| done: False
(6, 7, (0, 3))	| l indx: 21	| r nb: 334	| fail l: 334	| pass f: 0	| pass l: 0	| done: False
(6, 7, (1, 0))	| l indx: 31	| r nb: 334	| fail l: 334	| pass f: 0	| pass l: 0	| done: False
(6, 8, (0, 1))	| l indx: 6	| r nb: 335	| fail l: 335	| pass f: 0	| pass l: 0	| done: False
(6, 8, (0, 2))	| l indx: 25	| r nb: 334	| fail l: 334	| pass f: 0	| pass l: 0	| done: False
(6, 8, (0, 3))	| l indx: 28	| r nb: 334	| fail l: 334	| pass f: 0	| pass l: 0	| done: False
(6, 8, (1, 0))	| l indx: 5	| r nb: 335	| fail l: 335	| pass f: 0	| pass l: 0	| done: False
(6, 9, (0, 1))	| l indx: 27	| r nb: 334	| fail l: 334	| pass f: 0	| pass l: 0	| done: False
(6, 9, (0, 2))	| l indx: 12	| r nb: 334	| fail l: 334	| pass f: 0	| pass l: 0	| done: False
(6, 9, (0, 3))	| l indx: 3	| r nb: 335	| fail l: 335	| pass f: 0	| pass l: 0	| done: False
(6, 9, (1, 0))	| l indx: 9	| r nb: 335	| fail l: 335	| pass f: 0	| pass l: 0	| done: False
(6, 10, (0, 1))	| l indx: 30	| r nb: 334	| fail l: 334	| pass f: 0	| pass l: 0	| done: False
(6, 10, (0, 2))	| l indx: 17	| r nb: 334	| fail l: 334	| pass f: 0	| pass l: 0	| done: False
(6, 10, (0, 3))	| l indx: 2	| r nb: 334	| fail l: 334	| pass f: 0	| pass l: 0	| done: False
(6, 10, (1, 0))	| l indx: 22	| r nb: 334	| fail l: 334	| pass f: 0	| pass l: 0	| done: False
